HOLDER,SUBJECT
ZHEJIANG SUPOR PHARMACEUTICALS CO LTD,SECNIDAZOLE
MITSUBISHI TANABE PHARMA CORP,Y-39983 DRUG SUBSTANCE
CHEMCO PLUS SCIENTIFIC CO LTD,LC-SORB SPW-C-ODS(S)
COREL PHARMACHEM,"ACRYCOAT, METHACRYLIC ACID COPOLYMER"
APITORIA PHARMA PRIVATE LTD,GEMFIBROZIL USP
SUN PHARMACEUTICAL INDUSTRIES LTD,FOSPHENYTOIN SODIUM USP
DR REDDYS LABORATORIES LTD,DESLORATADINE USP
SOCIETA ITALIANA MEDICINALI SCANDICCI SIMS SRL,KETOPROFEN
APOTEX PHARMACHEM INDIA PVT LTD,LEVOFLOXACIN USP
3M DRUG DELIVERY SYSTEMS,3M COTRAN 9691 POLYESTER TAPE
SIEGFRIED USA LLC,HYDROCODONE BITARTRATE USP
3M DRUG DELIVERY SYSTEMS DIV,DROSPIRENONE/ETHINYL ESTRADIOL TRANSDERMAL DELIVERY SYSTEM
BESPAK EUROPE LTD,BK920 SERIES PHARMACEUTICAL ORAL ACTUATORS AND DUST CAPS
MEDICHEM MANUFACTURING MALTA LTD,ZALEPLON (MED - 201970)
ST GOBAIN PERFORMANCE PLASTICS CORP,SANIPURE(TM) 60 BIOPHARMACEUTICAL TUBING
INDUSTRIALE CHIMICA SRL,MEMANTINE HYDROCHLORIDE USP
JOHNSON MATTHEY INC PHARMACEUTICAL MATERIALS,OXANDROLONE
PEPTIDO GMBH,LIOTHYRONINE SODIUM
RHODIA OPERATIONS,GADOLINIUM OXIDE
DOSHION LTD,P-544S - POTASSIUM SALT OF POLACRYLIC ACID WITH PERCENTAGE OF POTASSIUM TO EXTENT OF 17-20%
DOSHION LTD,P-544D - POTASSIUM SALT OF POLACRYLIC ACID WITH PERCENTAGE OF POTASSIUM TO EXTENT OF 24.5-25.5%
DOSHION LTD,"P-542, SODIUM SALT OF POLACRYLIC ACID"
MYLAN PHARMACEUTICALS INC A VIATRIS CO,FOMEPIZOLE
NOF CORP,PL-2000CS PHOSPHOLIPID COMPOUND
DSM NUTRITIONAL PRODUCTS LTD,BONISTEIN(TM) - GENISTEIN CRYSTALLINE
ST GOBAIN PERFORMANCE PLASTICS CORP,TYGON (R)R 3350 - SANITARY SILICONE TUBING
FARMAK AS,ALFUZOSIN HYDROCHLORIDE
FARMABIOS SPA,FLUNISOLIDE ANHYDROUS USP
AUROBINDO PHARMA LTD,"CEFEPIME HYDROCHLORIDE, NON-STERILE INTERMEDIATE DRUG SUBSTANCE"
UNIMARK REMEDIES LTD,BENAZEPRIL HYDROCHLORIDE USP
ARCHIMICA SRL,TERAZOSIN HYDROCHLORIDE
BASF SE,DERMAZ 99 (AZELAIC ACID)
PCAS,CICLETANINE
3M DRUG DELIVERY SYSTEMS DIV,KOLLICOAT SMARTSEAL 30 D PRE-CLINICAL SAFETY DATA
APITORIA PHARMA PRIVATE LTD,PERINDOPRIL TERT-BUTYLAMINE DRUG SUBSTANCE
NUVIEW LIFE SCIENCES INC,COPPER CHLORIDE (CU-64) RADIOCHEMICAL
BPREX HEALTHCARE OFFRANVILLE SAS,SOF' BAG SETS
QUIMICA SINTETICA SA,LEVOFLOXACIN
APPLE CONVERTING INC,PACKAGING FILMS AND PAPERS
TAIZHOU HISOUND PHARMACEUTICAL CO LTD ,CHOLECALCIFEROL CRYSTAL (NON-STERILE BULK DRUG SUBSTANCE)
AARTI DRUGS LTD,METOPROLOL SUCCINATE
AEGIS AMPOULES AND VIALS LTD,NEUTRAL GLASS AMPOULES
AEGIS AMPOULES AND VIALS LTD,GLASS CYLINDERS FOR DENTAL LOCAL ANESTHETIC CARTRIDGES AND PEN INJECTOR CARTRIDGES
AEGIS AMPOULES AND VIALS LTD,NEUTRAL GASS TUBULAR VIALS
ISOTRON NEDERLAND BV,"ISOTRON NEDERLAND FACILITY IN EDE, THE NETHERLANDS."
OLON SPA,BETAHISTINE DIHYDROCHLORIDE
TAI HENG INDUSTRY CO LTD,ANASTROZOLE
CHEMPACIFIC CORP,DYCLONINE HYDROCHLORIDE DRUG SUBSTANCE
HAS HEALTHCARE ADVANCED SYNTHESIS SA,DANTROLENE SODIUM DRUG SUBSTANCE
SUN PHARMACEUTICAL INDUSTRIES LTD,IMATINIB MESYLATE
WOCKHARDT LTD,RANITIDINE HYDROCHLORIDE USP (FORM II)
LUXFER GAS CYLINDERS,COMPRESSED GAS CYLINDER PACKAGE
DYNIC USA CORP,NK45 BLACK THERMAL TRANSFER RIBBON
WOCKHARDT LTD,ZIPRASIDONE HYDROCHLORIDE MONOHYDRATE
DYNIC USA CORP,NK45 WHITE INK THERMAL TRANSFER RIBBON
ONAWAY INDUSTRIES LTD GLASS DIV ,TUBULAR GLASS VIALS CONTAINER
CHONGQING DAXIN PHARMACEUTICAL CO LTD,TOBRAMYCIN FORM-1 USP
TEVA PHARMACEUTICAL INDUSTRIES LTD,IMIQUIMOD
SUN PHARMACEUTICAL INDUSTRIES LTD,DESLORATADINE DRUG SUBSTANCE
NV ORGANON,16-ALPHA-HYDROXYPREDNISOLONE (INTERMEDIATE)
ITF CHEMICAL LTDA,TOLTERODINE L-TARTRATE
ZHEJIANG APELOA KANGYU PHARMACEUTICAL CO LTD,"LEVOFLOXACIN HEMIHYDRATE, USP"
BRISTOL MYERS SQUIBB CO,MDX-010 (ANTI-CTLA4 HUMAN MONOCLONAL ANTIBODY)
FIDIA FARMACEUTICI SPA DIVISIONE SOLMAG,SODIUM HYALURONATE OPHTHALMIC - FERMENTATIVE ORIGIN (TOPICAL GRADE)
ENDORECHERCHE INC,"ACOLBIFENE CAPSULES, 20 MG"
APITORIA PHARMA PRIVATE LTD,QUETIAPINE FUMARATE
CURIA NEW YORK INC,DEXTROAMPHETAMINE DRUG INTERMEDIATE
POLIMERI EUROPA FRANCE,RIBLENE FC30
POLIMERI EUROPA FRANCE,RIBLENE BD20
NIACET CORP,CALCIUM ACETATE USP GRADE - EXCIPIENT
QILU ANTIBIOTICS PHARMACEUTICAL CO LTD,"CEFUROXIME SODIUM, STERILE BULK ANTIBIOTIC DRUG SUBSTANCE"
UNIMARK REMEDIES LTD,RAMIPRIL USP
NATCO PHARMA LTD,ZOLEDRONIC ACID
BAXTER HEALTHCARE CORP,CLEARSHOT PLASTIC PREFILLED SYRINGES
INNER MONGOLIA CHANGSHENG PHARMACEUTICAL CO LTD,6-AMINOPENICILLANIC ACID
CURIA SPAIN SAU,OLOPATADINE HYDROCHLORIDE (PROCESS I)
CENWAY PHARMACEUTICALS LTD,"PACLITAXEL, NON-STERILE BULK FORM"
CURIA SPAIN SAU,BUDESONIDE STERILE MICRONIZED
HOFFMANN LA ROCHE INC,"INTERLEUKIN-2 (HUMAN, RECOMBINANT, E. COLI, HOFFMAN-LA ROCHE)"
UNGERER AND CO,N/A CHERRY FLVP FLAVOR WS FO-1979
CAMBREX KARLSKOGA AB,LIDOCAINE HYDROCHLORIDE
CAMBREX KARLSKOGA AB,LIDOCAINE
ZHEJIANG HUAHAI PHARMACEUTICAL CO LTD,CARVEDILOL USP
ISOCHEM SAS,AMBOX
FINETECH PHARMACEUTICAL LTD,LATANOPROST DRUG SUBSTANCE
KREBS BIOCHEMICALS INDUSTRIES LTD,SIMVASTATIN AMMONIUM SALT (INTERMEDIATE)
SYN-TECH CHEM AND PHARM CO LTD,LANSOPRAZOLE USP
PFANSTIEHL INC,"SUCROSE NF, EP, JP, ChP HIGH PURITY, LOW ENDOTOXIN, BEET DERIVED (S-124-2-MC)"
EUROAPI HUNGARY LTD ,EPOPROSTENAL SODIUM DRUG SUBSTANCE
NYPRO INC,FLOVENTR 120 DOSE 8ML METERED-DOSE INHALER COUNTER ACTUATOR/STRAPCAP
ZHEJIANG SUPOR PHARMACEUTICALS CO LTD,"LAMOTRIGINE, USP"
ZHEJIANG SUPOR PHARMACEUTICALS CO LTD,"QUETIAPINE FUMARATE, USP NON-STERILE DRUG SUBSTANCE"
ASSOCIATED CAPSULES PVT LTD,CELLULOSE CAPSULE SHELLS (EXCIPIENT)
CILAG AG,IRON SUCROSE DRUG SUBSTANCE
HENAN TOPFOND PHARMACEUTICAL CO LTD,"SIMVASTATIN, NON-STERILE BULK FORM"
TAI HENG INDUSTRY CO LTD,BICALUTAMIDE
VERANOVA LP,"METHYLPHENIDATE HYDROCHLORIDE, USP"
APITORIA PHARMA PRIVATE LTD,TRANDOLAPRIL USP
AMSA ANONIMA MATERIE SINTETICHE AND AFFINI SPA,MEMANTINE HYDROCHLORIDE
CAMBREX CHARLES CITY INC,PHENYLEPHRINE HYDROCHLORIDE
TARO PHARMACEUTICAL INDUSTRIES LTD,BUTENAFINE HYDROCHLORIDE
CHEMWERTH INC,"NICARDIPINE HYDROCHLORIDE, NON-STERILE, BULK DRUG SUBSTANCE"
APITORIA PHARMA PRIVATE LTD,DICLOXACILLIN SODIUM USP
TIANISH LABORATORIES PRIVATE LTD,ARIPIPRAZOLE USP
TIANISH LABORATORIES PRIVATE LTD,LANSOPRAZOLE USP
MITSUBISHI TANABE PHARMA CORP,MP-124 DRUG SUBSTANCE
SAFC BIOSCIENCES INC,"EX-CELL XJEM WITHOUT L-GLUTAMINE, WITHOUT SODIUM BICARBONATE"
ZHEJIANG HUAYI PHARMACEUTICAL CO LTD,PIOGLITAZONE HYDROCHLORIDE
TEVA PHARMACEUTICAL INDUSTRIES LTD,OXALIPLATIN
ABBOTT HEALTHCARE PRODUCTS BV,BIFEPRUNOX MESYLATE BULK DRUG SUBSTANCE
NORAMCO LLC,HYDROMORPHONE HYDROCHLORIDE DRUG SUBSTANCE
MULTISORB TECHNOLOGIES INTERNATIONAL,NATRASORB® DESICCANT PRODUCTS
INKE SA,QUETIAPINE HEMIFUMARATE
CHINA NATIONAL PHARMACEUTICAL FOREIGN TRADE CORP,RITALINIC ACID
RICON COLORS INC,"FDA BLACK, CPP-BK1296-1"
TIANISH LABORATORIES PRIVATE LTD,EMTRICITABINE USP
CHEMI SPA,OCTREOTIDE ACETATE
ZHEJIANG APELOA JIAYUAN PHARMACEUTICAL CO LTD,METOPROLOL SUCCINATE USP
SRI KRISHNA PHARMACEUTICALS LTD,SODIUM PHENYLBUTYRATE USP
NECTAR LIFESCIENCES LTD,CEFUROXIME AXETIL AMORPHOUS USP
WORLD JIANGSU INDUSTRY CO LTD,"TEICOPLANIN, NON-STERILE DRUG SUBSTANCE"
WAVELENGTH ENTERPRISES LTD,ROCURONIUM BROMIDE
HOSPIRA INC,PAMIDRONIC ACID DRUG SUBSTANCE
FARMABIOS SPA,DESONIDE DRUG SUBSTANCE
CONTIPRO AS,SODIUM HYALURONATE
AVIENT COLORANTS SWEDEN AB,PPZ1944910 REMAFIN(R) BLUE
NIPPON FINE CHEMICAL CO LTD,"DIERUCOYLPHOSPHATIDYLCHOLINE (DEPC), A LIPOSOMAL EXCIPIENT"
APITORIA PHARMA PRIVATE LTD,PANTOPRAZOLE SODIUM SESQUIHYDRATE USP
BCN PEPTIDES SA,SALMON CALCITONIN
TAIZHOU HIGHSUN PHARMACEUTICAL CO LTD,"GLIPIZIDE USP, NON-STERILE DRUG SUBSTANCE"
BRENNTAG CANADA INC,COLOR CONCENTRATE WHITE 33692DF
ORBION PHARMACEUTICALS PRIVATE LTD,AMLODIPINE BESYLATE
CADILA PHARMACEUTICALS LTD,CHLORHEXIDINE GLUCONATE SOLUTION USP
PHARMACOSMOS AS,DEXTRAN POWDER
THERMODORS PVT LTD,"PLASTIC BOTTLE, NOZZLE AND PILFER PROOF CAP - READY TO USE STERILE DROPPER ASSEMBLY"
FORMOSA LABORATORIES INC,DDAIP.HCI
LUPIN LTD,BICALUTAMIDE
APITORIA PHARMA PRIVATE LTD,CITALOPRAM HYDROBROMIDE USP (ROUTE-1)
SUN PHARMACEUTICAL INDUSTRIES LTD,AMITRIPTYLINE HYDROCHLORIDE USP
NEULAND LABORATORIES LTD,ROPINIROLE HYDROCHLORIDE USP
GLOCHEM INDUSTRIES PRIVATE LTD,AMLODIPINE BESYLATE
ROHM AND HAAS CO,AQUA-LAM 444A AND CR 7-103
DISPHAR INTL BV,"BETAHISTINE.2HCL, 8MG AND 16MG TABLETS"
PLIVA-LACHEMA AS,OXALIPLATIN
ALKALI METALS LTD,SODIUM AZIDE
SYMED LABS LTD,HYDROXYZINE HYDROCHLORIDE
AMPACET CORP,181691 DARK BROWN POLYETHYLENE MASTERBATCH
RECRO GAINESVILLE LLC,ELN-NM-101G
INTERQUIM SA,TOLTERODINE TARTRATE
MYLAN LABORATORIES LTD,LOPINAVIR (LVR)
WEYLCHEM ORGANICA GMBH,INDOCYANINE GREEN DRUG SUBSTANCE
ESS DEE ALUMINIUM LTD,PVC FILM AND ALUMINIUM FOIL
DYNA TECH ADHESIVES INC,TECHCRYL 2201 WATER BASED ADHESIVES
AMERICHEM INC,46344-CD1
APITORIA PHARMA PRIVATE LTD,ATOMOXETINE HYDROCHLORIDE USP
FLEX ART FOIL LTD,PLAIN ALUMINIUM FOIL/GLASSINE/LAMINATES AND PRINTED ALUMINIUM FOIL/GLASSINE/LAMINATES/CR FOIL
APITORIA PHARMA PRIVATE LTD,CEFDINIR USP (CRYSTAL B)
APITORIA PHARMA PRIVATE LTD,SULBACTAM SODIUM USP (NON-STERILE BULK)
ASHLAND INC,FLEXCRYL GP6W EMULSION
FRESENIUS KABI ONCOLOGY LTD,OXALIPLATIN
AARTI DRUGS LTD,CIPROFLOXACIN HYDROCHLORIDE
RL FINE CHEM PVT LTD,IMIPRAMINE PAMOATE DRUG SUBSTANCE
ZHEJIANG HISUN PHARMACEUTICAL CO LTD,IDARUBICIN HYDROCHLORIDE USP
AXITEC CO LTD,"FLUDARABINE PHOSPHATE USP, NON-STERILE BULK DRUG"
POLIMERI EUROPA FRANCE,RIBLENE FL24
CAFOSA GUM SA,ALL IN GUM SF ART
QUALICAPS CO LTD,EMPTY PONDAC CAPSULES
SYNTESE AS,MESALAMINE (5-AMINOSALICYLIC ACID) DRUG SUBSTANCE
DELAVAU LLC,CALCIUM CARBONATE GRANULATION ACTIVE PHARMACEUTICAL INGREDIENT
BOEHRINGER INGELHEIM PHARMA GMBH AND CO KG,REPAGLINIDE
OLON SPA,ADAPALENE DRUG SUBSTANCE
OLON SPA,LETROZOLE DRUG SUBSTANCE
OLON SPA,ATOMOXETINE HYDROCHLORIDE DRUG SUBSTANCE
OLON SPA,BICALUTAMIDE DRUG SUBSTANCE
INTERQUIM SA,TOLTERODINE TARTRATE MICRONIZED
LUPIN LTD,PIOGLITAZONE HYDROCHLORIDE
FRESENIUS KABI IPSUM SRL,CEFTRIAXONE SODIUM STERILE
HERCULES INC,BENECEL(R) HYDROXYPROPYLMETHYLCELLULOSE (HPMC)
DAIICHI SANKYO CO LTD,BENICAR HCTR (OLMESARTAN MEDOXOMIL HYDROCHLOROTHIAZIDE) TABLETS
GENENTECH INC,MSBA30K PEG REAGENT FOR MIRCERA (RO0503819)
CADILA HEALTHCARE LTD,DULOXETINE HYDROCHLORIDE USP
JAGSONPAL PHARMACEUTICALS LTD,D-OXYPHENE
HERAEUS PRECIOUS METALS GMBH AND CO KG,OXALIPLATIN
AVIENT CORP,CC00011090WE 10098632 TAN 467C
VASUDHA PHARMA CHEM LTD,AMITRIPTYLINE HYDROCHLORIDE USP
EPOCH BIOSCIENCES SHENZHEN CO LTD,FENOLDOPAM MESYLATE BULK ACTIVE API
HEINLEIN PLASTIK TECHNIK GMBH,CLOSURES FOR BOTTLES
IPCA LABORATORIES LTD,METOPROLOL SUCCINATE USP (PROCESS-II)
WANBURY LTD,GLUCOSAMINE SULFATE POTASSIUM CHLORIDE
ACG ASSOCIATED CAPSULES PVT LTD,EXCIPIENT CELLULOSE CAPSULE SHELLS
WANBURY LTD,GLUCOSAMINE SULFATE SODIUM CHLORIDE
NOF CORP,DSPC (DISTEAROYL PHOSPHATIDYLCHOLINE)
AUROBINDO PHARMA LTD,CEFACLOR USP
AUROBINDO PHARMA LTD,"CEFTAZIDIME DIHYDROCHLORIDE, NON-STERILE DRUG SUBSTANCE INTERMEDIATE"
ORBION PHARMACEUTICALS PRIVATE LTD,MODAFINIL
POLYPEPTIDE SA,EXENATIDE DRUG SUBSTANCE
SUVEN PHARMACEUTICALS LTD,TAMSULOSIN HYDROCHLORIDE
SUN PHARMACEUTICAL INDUSTRIES LTD,OXALIPLATIN USP
APITORIA PHARMA PRIVATE LTD,"TOLTERODINE TARTRATE, NON-STERILE DRUG SUBSTANCE"
LABLABO,SELECT AIRLESS PUMP AND BOTTLE
RITE SYSTEMS INC,"WHITE, NQC-W1317-7, LIQUID COLOR CONCENTRATE"
ERREGIERRE SPA,CELECOXIB USP-EP
DOOSAN BIOTECH BUSINESS DIV,DS-PL95E PURIFIED EGG YOLK LECITHIN FOR UTILIZATION IN FAT EMULSION PRODUCTION
CELSIS INC,CELSIS RAPISCREEN HEALTH
ANTIBIOTICOS DO BRASIL LTDA,"ARGININE USP, STERILE BULK"
ABBOTT LABORATORIES,HYDROCODONE/ACETAMINOPHEN EXTENDED RELEASE TABLETS
ZHEJIANG APELOA JIAYUAN PHARMACEUTICAL CO LTD,METHOCARBAMOL API
OPOCRIN SPA,DALTEPARIN SODIUM BULK
BASELL POLIOLEFINE ITALIA SRL,PURELL PE 3220 D
SAI PHYTOCEUTICALS PVT LTD,PACLITAXEL
SAI PHYTOCEUTICALS PVT LTD,IRINOTECAN HYDROCHLORIDE TRIHYDRATE
NEULAND LABORATORIES LTD,ESCITALOPRAM OXALATE
ARCH PHARMALABS LTD,ESCITALOPRAM OXALATE
AMNEAL PHARMACEUTICALS LLC,N/A COUGH SYRUP MASKER FLAVOR FN-6819
UNGERER AND CO,N/A CHERRY BERRY FL FM-4725
AMNEAL PHARMACEUTICALS LLC,ART. STRAWBERRY FLAVOR FO-1022
UNGERER AND CO,N/A STRAWBERRY FL WS FN-8378
ZHEJIANG CHENG YI PHARMACEUTICAL CO LTD,"MERCAPTOPURINE, USP, NON-STERILE ACTIVE PHARMACEUTICAL INGREDIENT"
ZHEJIANG CHENG YI PHARMACEUTICAL CO LTD,"AZATHIOPRINE USP, NON-STERILE ACTIVE PHARMACEUTICAL INGREDIENT"
DAIICHI SANKYO CO LTD,SUN13834 DRUG SUBSTANCE
APITORIA PHARMA PRIVATE LTD,LOSARTAN POTASSIUM USP DRUG SUBSTANCE
PHARMAZELL INDIA PRIVATE LTD,ATENOLOL USP
AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,L-GLUTAMINE
ADVANCED FILMS LLC,MEDICAL POUCH FILM
GLENMARK LIFE SCIENCES LTD,ALFUZOSIN HYDROCHLORIDE USP
ANUH PHARMA LTD,ERYTHROMYCIN USP
SHANDONG NEW TIME PHARMACEUTICAL CO LTD,"POTASSIUM CLAVULANATE, DILUTED, NON-STERILE BULK FORM"
SYMED LABS LTD,MEPROBAMATE USP
SANDOZ INDUSTRIAL PRODUCTS SA,NAFCILLIN ACID
SOLARA ACTIVE PHARMA SCIENCES LTD,MEPROBAMATE USP
THE CHEMOURS CO,TOPCOAT 3200-200
SYNTHON BV,ARIPIPRAZOLE
NAVINTA LLC,FOMEPIZOLE
OLON SPA,BALSALAZIDE DISODIUM SALT
CEPHALON INC,ARMODAFINIL DRUG SUBSTANCE
STERLING SPA,TRILOSTANE
NATCO PHARMA LTD,ANASTROZOLE
APTAR FRANCE SAS,POLYCHLOROPRENE ELASTOMERS
EUROAPI HUNGARY LTD,IRBESARTAN DRUG SUBSTANCE
LUTZ PACKAGING GMBH,AMPOULES AND BOTTLES
CHONGQING SHENGHUAXI PHARMACEUTICAL CO LTD,FAMCICLOVIR
SIEGFRIED USA LLC,MORPHINE SULFATE USP
EASTMAN CHEMICAL CO,BIOSUSTANE® SAIB (SUCROSE ACETATE ISOBUTYRATE)
BIA SEPARATIONS DOO,CIM CONVECTIVE INTERACTION MEDIA® QA
SANDOZ GMBH,"STERILE NAFCILLIN SODIUM, BUFFERED"
LUPIN LTD,BENAZEPRIL HYDROCHLORIDE USP (PROCESS B)
3M DRUG DELIVERY SYSTEMS DIV,MINITRAN (NITROGLYCERIN) TRANSDERMAL DELIVERY SYSTEM - CHEMISTRY
AMNEAL PHARMACEUTICALS LLC,N/A PINEAPPLE FLAVOR FM-4130
ACTEGA RHENANIA GMBH,28505-18014 (LOR 30) COATING LACQUER
TEVA PHARMACEUTICAL INDUSTRIES LTD,ZOLEDRONIC ACID
WOCKHARDT LTD,CYANOCOBALAMIN USP
MERRION PHARMACEUTICALS,MER-104A GIPET 10MG ENTERIC TABLETS
HONEYWELL INTERNATIONAL INC,HONEYWELL PHARMACEUTICAL HFA-134A
MARTEK BIOSCIENCES CORP,"DOCOSAHEXAENOIC ACID ACTIVE SINGLE CELL OIL (DHASCO) 55%, DHASCO CAPSULES, 510 MG DHA, AND PLACEBO TO MATCH DHASCO CAPSULES"
STERLING BIOTECH LTD,GELATIN TYPE B
PRETIUM PACKAGING,"PLASTIC RESINS, PLASTIC COLORANTS AND PLASTIC ADDITIVES"
WOCKHARDT LTD,GRANISETRON HYDROCHLORIDE
SAI LIFE SCIENCES LTD,MILRINONE
HARMAN FINOCHEM LTD,GLYCOPYRROLATE USP
APITORIA PHARMA PRIVATE LTD,FOSINOPRIL SODIUM USP
ZHEJIANG HUAHAI PHARMACEUTICAL CO LTD,NEVIRAPINE USP
DR REDDYS LABORATORIES LTD,OMEPRAZOLE (FORM B) USP
AARTI PHARMALABS LTD,RAMIPRIL USP (GRADE A)
INDUSTRIALE CHIMICA SRL,EPLERENONE
SHANGHAI ZHONGXI SUNVE PHARMACEUTICAL CO LTD,CLOTRIMAZOLE
GLENMARK LIFE SCIENCES LTD,EZETIMIBE (PROCESS I)
APTAR FRANCE SAS,EQUADEL METERED DOSE PUMPS
AARTI INDUSTRIES LTD,"RAMIPRIL USP, GRADE II"
WOCKHARDT LTD,TRANDOLAPRIL
VALENS MOLECULES PRIVATE LTD,HYDROCHLOROTHIAZIDE USP
MALLADI DRUGS AND PHARMACEUTICALS LTD,2-(4' METHOXYPHENYL) -2-(1-HYDROXYCYCLOHEXYL) ETHYLAMINE ACETATE (MHE ACETATE)
HUBEI BIOCAUSE HEILEN PHARMACEUTICAL CO LTD,FLUMAZENIL
CAMBREX CHARLES CITY INC,FENTANYL CITRATE USP MICRONIZED
CIPLA LTD,LANSOPRAZOLE USP
HUBEI BIOCAUSE HEILEN PHARMACEUTICAL CO LTD,MILRINONE
CEODEUX MEDITEC SA,HIGH PRESSURE VALVE RANGE D 335 FOR CYLINDERS CONTAINING GASEOUS MIXTURE DRUGS UNDER PRESSURE
BENGBU BAYI PHARMACEUTICAL CO LTD,PARACETAMOL (OR ALTERNATIVELY KNOWN AS ACETAMINOPHEN)
DIVIS LABORATORIES LTD,SIBUTRAMINE HYDROCHLORIDE MONOHYDRATE
APITORIA PHARMA PRIVATE LTD,TAMSULOSIN HCI USP
NOF CORP,"N-(METHYLPOLYOXYETHYLENE OXYCARBONYL)-1, 2- DISTEAROYL--SN- GLYCERO-3- PHOSPHOETHANOLAMINE SODIUM SALT (DSPE-PEG2000)"
ST GOBAIN PERFORMANCE PLASTICS CORP,SANIPURE(TM) BDF(TM) BIOPHARMACEUTICAL TUBING
ST GOBAIN PERFORMANCE PLASTICS CORP,TYGON(R) LFL BIOPHARMACEUTICAL TUBING
TIANJIN JINJIN PHARMACEUTICAL CO LTD,HYDROCORTISONE BASE
GLENMARK LIFE SCIENCES LTD,IMIQUIMOD USP
ALCAMI WISCONSIN CORP,FP-062
BEIJING TAIYANG PHARMACEUTICAL INDUSTRY CO LTD,DIPHENHYDRAMINE HYDROCHLORIDE
CAMBREX CHARLES CITY INC,LEVETIRACETAM
JUBILANT PHARMOVA LTD,ARIPIPRAZOLE USP
ZHEJIANG WEPON PHARMACEUTICAL CO LTD,LORATADINE
ZHEJIANG WEPON PHARMACEUTICAL CO LTD,CLINDAMYCIN PHOSPHATE
KUNSTSTOFFWERK KREMSMUNSTER GMBH,PP 28 CAPS T/E
ZAKLADY FARMACEUTYCZNE POLPHARMA SA,METOPROLOL SUCCINATE
VITALIFE LABORATORIES (A DIV ARCH PHARMALABS LTD),CLOPIDOGREL BISULFATE USP
HETERO LABS LTD,THALIDOMIDE USP
GLENMARK LIFE SCIENCES LTD,LINEZOLID
ORBION PHARMACEUTICALS PRIVATE LTD,LEVETIRACETAM
CIPLA LTD,ANASTROZOLE USP
CIPLA LTD,ZOLEDRONIC ACID
CIPLA LTD,BECLOMETHASONE DIPROPIONATE
ORCHID PHARMA LTD,PAROXETINE HYDROCHLORIDE
SUVEN PHARMACEUTICALS LTD,NITAZOXANIDE
CIPLA LTD,NEVIRAPINE HEMIHYDRATE USP
SANDOZ GMBH,STERILIZATION PROCESS VALIDATION INFORMATION FOR THE STERILE PENICILLIN PLANT
AUROBINDO PHARMA LTD,CEFEPIME FOR INJECTION USP (STERILE BULK)
SHIN ETSU KASEI KOGYO CO LTD,ADSORBENT SE-PACK
DURAN PRODUKTIONS GMBH AND CO KG,DURAN PREMIUM LABORATORY BOTTLE WITH SCREW CAP
ROTEM INDUSTRIES LTD,OXYGEN 18 ENRICHED WATER
DR REDDYS LABORATORIES LTD,TELMISARTAN
ZYDUS LIFESCIENCES LTD,METOPROLOL SUCCINATE USP
ARCH PLASTICS PACKAGING,PACKAGING MATERIALS
QILU PHARMACEUTICAL CO LTD,ONDANSETRON
NAKODA CHEMICALS LTD,ACETAZOLAMIDE
EURAND INC,EUR-1042 ORALLY DISINTEGRATING TABLETS
PMC ISOCHEM,TRIMEBUTINE MALEATE
EVONIK REXIM NANNING PHARMACEUTICAL CO LTD,L-ASPARTIC ACID
NICHIRIN CHEMICAL INDUSTRIES LTD,CARMELLOSE JP
ISOCHEM,FENOLDOPAM MESYLATE USP
EVONIK REXIM NANNING PHARMACEUTICAL CO LTD,L-ALANINE
SAFC BIOSCIENCES INC,EX-CELL 302 CHO SERUM-FREE MEDIUM W/O L-GLUTAMINE
SAFC BIOSCIENCES INC,EX-CELL 325 PF CHO (MODIFIED) SERUM-FREE PROTEIN-FREE W/L-GLUTAMINE
SAFC BIOSCIENCES INC,EX-CELL 325 PF CHO (MODIFIED) SERUM-FREE PROTEIN-FREE W/L-GLUTAMINE W/O SODIUM BICARBONATE
NAVINTA LLC,NICARDIPINE HYDROCHLORIDE USP
BOEHRINGER INGELHEIM PHARMA GMBH AND CO KG,SCOPOLAMINE (HYOSCINE)
AARTI DRUGS LTD,TERBINAFINE HYDROCHLORIDE
PHOSPHAGENICS LTD,TOCOPHERYL PHOSPHATE MIX (TPM)
ABBEY COLOR INC,FLUORESCEIN USP
KYORAKU CO LTD,POLYETHYLENE BAG FOR MEDICAL SUPPLIES (MIRASON 53)
SHISEIDO CO LTD,SODIUM HYALURONATE OF PHARMACEUTICAL GRADE CONSISTING OF INTERMEDIATE (SZE AND API (LM)
ALEMBIC PHARMACEUTICALS LTD,ROPINIROLE HYDROCHLORIDE USP
SYMBIOTEC PHARMALAB PRIVATE LTD,MOMETASONE FUROATE
DR REDDYS LABORATORIES LTD,BICALUTAMIDE
VERANOVA LP,TETRAHYDROCANNABINOL (THC) IN SESAME OIL
CIPLA LTD,DIDANOSINE USP
CIPLA LTD,EMTRICITABINE
STANDARD CHEM AND PHARM CO LTD,ALFUZOSIN HYDROCHLORIDE
ST GOBAIN PERFORMANCE PLASTICS CORP,TYGON 2775 HIGH PURITY TUBING AND TYGON 2275 IB HIGH PURITY PRESSURE TUBING
ST GOBAIN PERFORMANCE PLASTICS CORP,PHARMAPURE LOW SPALLATION PUMP TUBING
ANTIBIOTICOS DO BRASIL LTDA,CEFOXITIN SODIUM STERILE BULK
